model,beta,lr,weight_decay,seed,num_neurons,num_committees,size_committee,accuracy
Committee,4,0.01,1e-05,300,50,60,5,
Committee,4,0.01,1e-05,300,50,70,5,
Committee,4,0.01,1e-05,300,50,80,5,
Committee,4,0.01,1e-05,300,50,90,5,
Committee,4,0.01,1e-05,300,50,100,5,
Committee,4,0.01,1e-05,300,50,200,5,
Committee,4,0.01,1e-05,300,50,300,5,
Committee,4,0.01,1e-05,300,50,400,5,
Committee,4,0.01,1e-05,300,50,1000,5,
Committee,4,0.01,1e-05,300,50,2000,5,
Committee,4,0.01,1e-05,300,100,50,5,
Committee,4,0.01,1e-05,300,100,60,5,
Committee,4,0.01,1e-05,300,100,70,5,
Committee,4,0.01,1e-05,300,100,80,5,
Committee,4,0.01,1e-05,300,100,90,5,
Committee,4,0.01,1e-05,300,100,100,5,
Committee,4,0.01,1e-05,300,100,200,5,
Committee,4,0.01,1e-05,300,100,300,5,
Committee,4,0.01,1e-05,300,100,400,5,
Committee,4,0.01,1e-05,300,100,1000,5,
Committee,4,0.01,1e-05,300,100,2000,5,
Committee,4,0.01,1e-05,300,50,50,10,
Committee,4,0.01,1e-05,300,50,60,10,
Committee,4,0.01,1e-05,300,50,70,10,
Committee,4,0.01,1e-05,300,50,80,10,
Committee,4,0.01,1e-05,300,50,90,10,
Committee,4,0.01,1e-05,300,50,100,10,
Committee,4,0.01,1e-05,300,50,200,10,
Committee,4,0.01,1e-05,300,50,300,10,
Committee,4,0.01,1e-05,300,50,400,10,
Committee,4,0.01,1e-05,300,50,1000,10,
Committee,4,0.01,1e-05,300,50,2000,10,
Committee,4,0.01,1e-05,300,100,50,10,
Committee,4,0.01,1e-05,300,100,60,10,
Committee,4,0.01,1e-05,300,100,70,10,
Committee,4,0.01,1e-05,300,100,80,10,
Committee,4,0.01,1e-05,300,100,90,10,
Committee,4,0.01,1e-05,300,100,100,10,
Committee,4,0.01,1e-05,300,100,200,10,
Committee,4,0.01,1e-05,300,100,300,10,
Committee,4,0.01,1e-05,300,100,400,10,
Committee,4,0.01,1e-05,300,100,1000,10,
Committee,4,0.01,1e-05,300,100,2000,10,
Committee,4,0.01,1e-06,300,50,50,5,
Committee,4,0.01,1e-06,300,50,60,5,
Committee,4,0.01,1e-06,300,50,70,5,
Committee,4,0.01,1e-06,300,50,80,5,
Committee,4,0.01,1e-06,300,50,90,5,
Committee,4,0.01,1e-06,300,50,100,5,
Committee,4,0.01,1e-06,300,50,200,5,
Committee,4,0.01,1e-06,300,50,300,5,
Committee,4,0.01,1e-06,300,50,400,5,
Committee,4,0.01,1e-06,300,50,1000,5,
Committee,4,0.01,1e-06,300,50,2000,5,
Committee,4,0.01,1e-06,300,100,50,5,
Committee,4,0.01,1e-06,300,100,60,5,
Committee,4,0.01,1e-06,300,100,70,5,
Committee,4,0.01,1e-06,300,100,80,5,
Committee,4,0.01,1e-06,300,100,90,5,
Committee,4,0.01,1e-06,300,100,100,5,
Committee,4,0.01,1e-06,300,100,200,5,
Committee,4,0.01,1e-06,300,100,300,5,
Committee,4,0.01,1e-06,300,100,400,5,
Committee,4,0.01,1e-06,300,100,1000,5,
Committee,4,0.01,1e-06,300,100,2000,5,
Committee,4,0.01,1e-06,300,50,50,10,
Committee,4,0.01,1e-06,300,50,60,10,
Committee,4,0.01,1e-06,300,50,70,10,
Committee,4,0.01,1e-06,300,50,80,10,
Committee,4,0.01,1e-06,300,50,90,10,
Committee,4,0.01,1e-06,300,50,100,10,
Committee,4,0.01,1e-06,300,50,200,10,
Committee,4,0.01,1e-06,300,50,300,10,
Committee,4,0.01,1e-06,300,50,400,10,
Committee,4,0.01,1e-06,300,50,1000,10,
Committee,4,0.01,1e-06,300,50,2000,10,
Committee,4,0.01,1e-06,300,100,50,10,
Committee,4,0.01,1e-06,300,100,60,10,
Committee,4,0.01,1e-06,300,100,70,10,
Committee,4,0.01,1e-06,300,100,80,10,
Committee,4,0.01,1e-06,300,100,90,10,
Committee,4,0.01,1e-06,300,100,100,10,
Committee,4,0.01,1e-06,300,100,200,10,
Committee,4,0.01,1e-06,300,100,300,10,
Committee,4,0.01,1e-06,300,100,400,10,
Committee,4,0.01,1e-06,300,100,1000,10,
Committee,4,0.01,1e-06,300,100,2000,10,
Committee,4,0.001,1e-05,300,50,50,5,
Committee,4,0.001,1e-05,300,50,60,5,
Committee,4,0.001,1e-05,300,50,70,5,
Committee,4,0.001,1e-05,300,50,80,5,
Committee,4,0.001,1e-05,300,50,90,5,
Committee,4,0.001,1e-05,300,50,100,5,
Committee,4,0.001,1e-05,300,50,200,5,
Committee,4,0.001,1e-05,300,50,300,5,
Committee,4,0.001,1e-05,300,50,400,5,
Committee,4,0.001,1e-05,300,50,1000,5,
Committee,4,0.001,1e-05,300,50,2000,5,
Committee,4,0.001,1e-05,300,100,50,5,
Committee,4,0.001,1e-05,300,100,60,5,
Committee,4,0.001,1e-05,300,100,70,5,
Committee,4,0.001,1e-05,300,100,80,5,
Committee,4,0.001,1e-05,300,100,90,5,
Committee,4,0.001,1e-05,300,100,100,5,
Committee,4,0.001,1e-05,300,100,200,5,
Committee,4,0.001,1e-05,300,100,300,5,
Committee,4,0.001,1e-05,300,100,400,5,
Committee,4,0.001,1e-05,300,100,1000,5,
Committee,4,0.001,1e-05,300,100,2000,5,
Committee,4,0.001,1e-05,300,50,50,10,
Committee,4,0.001,1e-05,300,50,60,10,
Committee,4,0.001,1e-05,300,50,70,10,
Committee,4,0.001,1e-05,300,50,80,10,
Committee,4,0.001,1e-05,300,50,90,10,
Committee,4,0.001,1e-05,300,50,100,10,
Committee,4,0.001,1e-05,300,50,200,10,
Committee,4,0.001,1e-05,300,50,300,10,
Committee,4,0.001,1e-05,300,50,400,10,
Committee,4,0.001,1e-05,300,50,1000,10,
Committee,4,0.001,1e-05,300,50,2000,10,
Committee,4,0.001,1e-05,300,100,50,10,
Committee,4,0.001,1e-05,300,100,60,10,
Committee,4,0.001,1e-05,300,100,70,10,
Committee,4,0.001,1e-05,300,100,80,10,
Committee,4,0.001,1e-05,300,100,90,10,
Committee,4,0.001,1e-05,300,100,100,10,
Committee,4,0.001,1e-05,300,100,200,10,
Committee,4,0.001,1e-05,300,100,300,10,
Committee,4,0.001,1e-05,300,100,400,10,
Committee,4,0.001,1e-05,300,100,1000,10,
Committee,4,0.001,1e-05,300,100,2000,10,
Committee,4,0.001,1e-06,300,50,50,5,
Committee,4,0.001,1e-06,300,50,60,5,
Committee,4,0.001,1e-06,300,50,70,5,
Committee,4,0.001,1e-06,300,50,80,5,
Committee,4,0.001,1e-06,300,50,90,5,
Committee,4,0.001,1e-06,300,50,100,5,
Committee,4,0.001,1e-06,300,50,200,5,
Committee,4,0.001,1e-06,300,50,300,5,
Committee,4,0.001,1e-06,300,50,400,5,
Committee,4,0.001,1e-06,300,50,1000,5,
Committee,4,0.001,1e-06,300,50,2000,5,
Committee,4,0.001,1e-06,300,100,50,5,
Committee,4,0.001,1e-06,300,100,60,5,
Committee,4,0.001,1e-06,300,100,70,5,
Committee,4,0.001,1e-06,300,100,80,5,
Committee,4,0.001,1e-06,300,100,90,5,
Committee,4,0.001,1e-06,300,100,100,5,
Committee,4,0.001,1e-06,300,100,200,5,
Committee,4,0.001,1e-06,300,100,300,5,
Committee,4,0.001,1e-06,300,100,400,5,
Committee,4,0.001,1e-06,300,100,1000,5,
Committee,4,0.001,1e-06,300,100,2000,5,
Committee,4,0.001,1e-06,300,50,50,10,
Committee,4,0.001,1e-06,300,50,60,10,
Committee,4,0.001,1e-06,300,50,70,10,
Committee,4,0.001,1e-06,300,50,80,10,
Committee,4,0.001,1e-06,300,50,90,10,
Committee,4,0.001,1e-06,300,50,100,10,
Committee,4,0.001,1e-06,300,50,200,10,
Committee,4,0.001,1e-06,300,50,300,10,
Committee,4,0.001,1e-06,300,50,400,10,
Committee,4,0.001,1e-06,300,50,1000,10,
Committee,4,0.001,1e-06,300,50,2000,10,
Committee,4,0.001,1e-06,300,100,50,10,
Committee,4,0.001,1e-06,300,100,60,10,
Committee,4,0.001,1e-06,300,100,70,10,
Committee,4,0.001,1e-06,300,100,80,10,
Committee,4,0.001,1e-06,300,100,90,10,
Committee,4,0.001,1e-06,300,100,100,10,
Committee,4,0.001,1e-06,300,100,200,10,
Committee,4,0.001,1e-06,300,100,300,10,
Committee,4,0.001,1e-06,300,100,400,10,
Committee,4,0.001,1e-06,300,100,1000,10,
Committee,4,0.001,1e-06,300,100,2000,10,
Committee,1,0.01,1e-05,500,50,50,5,
Committee,1,0.01,1e-05,500,50,60,5,
Committee,1,0.01,1e-05,500,50,70,5,
Committee,1,0.01,1e-05,500,50,80,5,
Committee,1,0.01,1e-05,500,50,90,5,
Committee,1,0.01,1e-05,500,50,100,5,
Committee,1,0.01,1e-05,500,50,200,5,
Committee,1,0.01,1e-05,500,50,300,5,
Committee,1,0.01,1e-05,500,50,400,5,
Committee,1,0.01,1e-05,500,50,1000,5,
Committee,1,0.01,1e-05,500,50,2000,5,
Committee,1,0.01,1e-05,500,100,50,5,
Committee,1,0.01,1e-05,500,100,60,5,
Committee,1,0.01,1e-05,500,100,70,5,
Committee,1,0.01,1e-05,500,100,80,5,
Committee,1,0.01,1e-05,500,100,90,5,
Committee,1,0.01,1e-05,500,100,100,5,
Committee,1,0.01,1e-05,500,100,200,5,
Committee,1,0.01,1e-05,500,100,300,5,
Committee,1,0.01,1e-05,500,100,400,5,
Committee,1,0.01,1e-05,500,100,1000,5,
Committee,1,0.01,1e-05,500,100,2000,5,
Committee,1,0.01,1e-05,500,50,50,10,
Committee,1,0.01,1e-05,500,50,60,10,
Committee,1,0.01,1e-05,500,50,70,10,
Committee,1,0.01,1e-05,500,50,80,10,
Committee,1,0.01,1e-05,500,50,90,10,
Committee,1,0.01,1e-05,500,50,100,10,
Committee,1,0.01,1e-05,500,50,200,10,
Committee,1,0.01,1e-05,500,50,300,10,
Committee,1,0.01,1e-05,500,50,400,10,
Committee,1,0.01,1e-05,500,50,1000,10,
Committee,1,0.01,1e-05,500,50,2000,10,
Committee,1,0.01,1e-05,500,100,50,10,
Committee,1,0.01,1e-05,500,100,60,10,
Committee,1,0.01,1e-05,500,100,70,10,
Committee,1,0.01,1e-05,500,100,80,10,
Committee,1,0.01,1e-05,500,100,90,10,
Committee,1,0.01,1e-05,500,100,100,10,
Committee,1,0.01,1e-05,500,100,200,10,
Committee,1,0.01,1e-05,500,100,300,10,
Committee,1,0.01,1e-05,500,100,400,10,
Committee,1,0.01,1e-05,500,100,1000,10,
Committee,1,0.01,1e-05,500,100,2000,10,
Committee,1,0.01,1e-06,500,50,50,5,
Committee,1,0.01,1e-06,500,50,60,5,
Committee,1,0.01,1e-06,500,50,70,5,
Committee,1,0.01,1e-06,500,50,80,5,
Committee,1,0.01,1e-06,500,50,90,5,
Committee,1,0.01,1e-06,500,50,100,5,
Committee,1,0.01,1e-06,500,50,200,5,
Committee,1,0.01,1e-06,500,50,300,5,
Committee,1,0.01,1e-06,500,50,400,5,
Committee,1,0.01,1e-06,500,50,1000,5,
Committee,1,0.01,1e-06,500,50,2000,5,
Committee,1,0.01,1e-06,500,100,50,5,
Committee,1,0.01,1e-06,500,100,60,5,
Committee,1,0.01,1e-06,500,100,70,5,
Committee,1,0.01,1e-06,500,100,80,5,
Committee,1,0.01,1e-06,500,100,90,5,
Committee,1,0.01,1e-06,500,100,100,5,
Committee,1,0.01,1e-06,500,100,200,5,
Committee,1,0.01,1e-06,500,100,300,5,
Committee,1,0.01,1e-06,500,100,400,5,
Committee,1,0.01,1e-06,500,100,1000,5,
Committee,1,0.01,1e-06,500,100,2000,5,
Committee,1,0.01,1e-06,500,50,50,10,
Committee,1,0.01,1e-06,500,50,60,10,
Committee,1,0.01,1e-06,500,50,70,10,
Committee,1,0.01,1e-06,500,50,80,10,
Committee,1,0.01,1e-06,500,50,90,10,
Committee,1,0.01,1e-06,500,50,100,10,
Committee,1,0.01,1e-06,500,50,200,10,
Committee,1,0.01,1e-06,500,50,300,10,
Committee,1,0.01,1e-06,500,50,400,10,
Committee,1,0.01,1e-06,500,50,1000,10,
Committee,1,0.01,1e-06,500,50,2000,10,
Committee,1,0.01,1e-06,500,100,50,10,
Committee,1,0.01,1e-06,500,100,60,10,
Committee,1,0.01,1e-06,500,100,70,10,
Committee,1,0.01,1e-06,500,100,80,10,
Committee,1,0.01,1e-06,500,100,90,10,
Committee,1,0.01,1e-06,500,100,100,10,
Committee,1,0.01,1e-06,500,100,200,10,
Committee,1,0.01,1e-06,500,100,300,10,
Committee,1,0.01,1e-06,500,100,400,10,
Committee,1,0.01,1e-06,500,100,1000,10,
Committee,1,0.01,1e-06,500,100,2000,10,
Committee,1,0.001,1e-05,500,50,50,5,
Committee,1,0.001,1e-05,500,50,60,5,
Committee,1,0.001,1e-05,500,50,70,5,
Committee,1,0.001,1e-05,500,50,80,5,
Committee,1,0.001,1e-05,500,50,90,5,
Committee,1,0.001,1e-05,500,50,100,5,
Committee,1,0.001,1e-05,500,50,200,5,
Committee,1,0.001,1e-05,500,50,300,5,
Committee,1,0.001,1e-05,500,50,400,5,
Committee,1,0.001,1e-05,500,50,1000,5,
Committee,1,0.001,1e-05,500,50,2000,5,
Committee,1,0.001,1e-05,500,100,50,5,
Committee,1,0.001,1e-05,500,100,60,5,
Committee,1,0.001,1e-05,500,100,70,5,
Committee,1,0.001,1e-05,500,100,80,5,
Committee,1,0.001,1e-05,500,100,90,5,
Committee,1,0.001,1e-05,500,100,100,5,
Committee,1,0.001,1e-05,500,100,200,5,
Committee,1,0.001,1e-05,500,100,300,5,
Committee,1,0.001,1e-05,500,100,400,5,
Committee,1,0.001,1e-05,500,100,1000,5,
Committee,1,0.001,1e-05,500,100,2000,5,
Committee,1,0.001,1e-05,500,50,50,10,
Committee,1,0.001,1e-05,500,50,60,10,
Committee,1,0.001,1e-05,500,50,70,10,
Committee,1,0.001,1e-05,500,50,80,10,
Committee,1,0.001,1e-05,500,50,90,10,
Committee,1,0.001,1e-05,500,50,100,10,
Committee,1,0.001,1e-05,500,50,200,10,
Committee,1,0.001,1e-05,500,50,300,10,
Committee,1,0.001,1e-05,500,50,400,10,
Committee,1,0.001,1e-05,500,50,1000,10,
Committee,1,0.001,1e-05,500,50,2000,10,
Committee,1,0.001,1e-05,500,100,50,10,
Committee,1,0.001,1e-05,500,100,60,10,
Committee,1,0.001,1e-05,500,100,70,10,
Committee,1,0.001,1e-05,500,100,80,10,
Committee,1,0.001,1e-05,500,100,90,10,
Committee,1,0.001,1e-05,500,100,100,10,
Committee,1,0.001,1e-05,500,100,200,10,
Committee,1,0.001,1e-05,500,100,300,10,
Committee,1,0.001,1e-05,500,100,400,10,
Committee,1,0.001,1e-05,500,100,1000,10,
Committee,1,0.001,1e-05,500,100,2000,10,
Committee,1,0.001,1e-06,500,50,50,5,
Committee,1,0.001,1e-06,500,50,60,5,
Committee,1,0.001,1e-06,500,50,70,5,
Committee,1,0.001,1e-06,500,50,80,5,
Committee,1,0.001,1e-06,500,50,90,5,
Committee,1,0.001,1e-06,500,50,100,5,
Committee,1,0.001,1e-06,500,50,200,5,
Committee,1,0.001,1e-06,500,50,300,5,
Committee,1,0.001,1e-06,500,50,400,5,
Committee,1,0.001,1e-06,500,50,1000,5,
Committee,1,0.001,1e-06,500,50,2000,5,
Committee,1,0.001,1e-06,500,100,50,5,
Committee,1,0.001,1e-06,500,100,60,5,
Committee,1,0.001,1e-06,500,100,70,5,
Committee,1,0.001,1e-06,500,100,80,5,
Committee,1,0.001,1e-06,500,100,90,5,
Committee,1,0.001,1e-06,500,100,100,5,
Committee,1,0.001,1e-06,500,100,200,5,
Committee,1,0.001,1e-06,500,100,300,5,
Committee,1,0.001,1e-06,500,100,400,5,
Committee,1,0.001,1e-06,500,100,1000,5,
Committee,1,0.001,1e-06,500,100,2000,5,
Committee,1,0.001,1e-06,500,50,50,10,
Committee,1,0.001,1e-06,500,50,60,10,
Committee,1,0.001,1e-06,500,50,70,10,
Committee,1,0.001,1e-06,500,50,80,10,
Committee,1,0.001,1e-06,500,50,90,10,
Committee,1,0.001,1e-06,500,50,100,10,
Committee,1,0.001,1e-06,500,50,200,10,
Committee,1,0.001,1e-06,500,50,300,10,
Committee,1,0.001,1e-06,500,50,400,10,
Committee,1,0.001,1e-06,500,50,1000,10,
Committee,1,0.001,1e-06,500,50,2000,10,
Committee,1,0.001,1e-06,500,100,50,10,
Committee,1,0.001,1e-06,500,100,60,10,
Committee,1,0.001,1e-06,500,100,70,10,
Committee,1,0.001,1e-06,500,100,80,10,
Committee,1,0.001,1e-06,500,100,90,10,
Committee,1,0.001,1e-06,500,100,100,10,
Committee,1,0.001,1e-06,500,100,200,10,
Committee,1,0.001,1e-06,500,100,300,10,
Committee,1,0.001,1e-06,500,100,400,10,
Committee,1,0.001,1e-06,500,100,1000,10,
Committee,1,0.001,1e-06,500,100,2000,10,
Committee,2,0.01,1e-05,500,50,50,5,
Committee,2,0.01,1e-05,500,50,60,5,
Committee,2,0.01,1e-05,500,50,70,5,
Committee,2,0.01,1e-05,500,50,80,5,
Committee,2,0.01,1e-05,500,50,90,5,
Committee,2,0.01,1e-05,500,50,100,5,
Committee,2,0.01,1e-05,500,50,200,5,
Committee,2,0.01,1e-05,500,50,300,5,
Committee,2,0.01,1e-05,500,50,400,5,
Committee,2,0.01,1e-05,500,50,1000,5,
Committee,2,0.01,1e-05,500,50,2000,5,
Committee,2,0.01,1e-05,500,100,50,5,
Committee,2,0.01,1e-05,500,100,60,5,
Committee,2,0.01,1e-05,500,100,70,5,
Committee,2,0.01,1e-05,500,100,80,5,
Committee,2,0.01,1e-05,500,100,90,5,
Committee,2,0.01,1e-05,500,100,100,5,
Committee,2,0.01,1e-05,500,100,200,5,
Committee,2,0.01,1e-05,500,100,300,5,
Committee,2,0.01,1e-05,500,100,400,5,
Committee,2,0.01,1e-05,500,100,1000,5,
Committee,2,0.01,1e-05,500,100,2000,5,
Committee,2,0.01,1e-05,500,50,50,10,
Committee,2,0.01,1e-05,500,50,60,10,
Committee,2,0.01,1e-05,500,50,70,10,
Committee,2,0.01,1e-05,500,50,80,10,
Committee,2,0.01,1e-05,500,50,90,10,
Committee,2,0.01,1e-05,500,50,100,10,
Committee,2,0.01,1e-05,500,50,200,10,
Committee,2,0.01,1e-05,500,50,300,10,
Committee,2,0.01,1e-05,500,50,400,10,
Committee,2,0.01,1e-05,500,50,1000,10,
Committee,2,0.01,1e-05,500,50,2000,10,
Committee,2,0.01,1e-05,500,100,50,10,
Committee,2,0.01,1e-05,500,100,60,10,
Committee,2,0.01,1e-05,500,100,70,10,
Committee,2,0.01,1e-05,500,100,80,10,
Committee,2,0.01,1e-05,500,100,90,10,
Committee,2,0.01,1e-05,500,100,100,10,
Committee,2,0.01,1e-05,500,100,200,10,
Committee,2,0.01,1e-05,500,100,300,10,
Committee,2,0.01,1e-05,500,100,400,10,
Committee,2,0.01,1e-05,500,100,1000,10,
Committee,2,0.01,1e-05,500,100,2000,10,
Committee,2,0.01,1e-06,500,50,50,5,
Committee,2,0.01,1e-06,500,50,60,5,
Committee,2,0.01,1e-06,500,50,70,5,
Committee,2,0.01,1e-06,500,50,80,5,
Committee,2,0.01,1e-06,500,50,90,5,
Committee,2,0.01,1e-06,500,50,100,5,
Committee,2,0.01,1e-06,500,50,200,5,
Committee,2,0.01,1e-06,500,50,300,5,
Committee,2,0.01,1e-06,500,50,400,5,
Committee,2,0.01,1e-06,500,50,1000,5,
Committee,2,0.01,1e-06,500,50,2000,5,
Committee,2,0.01,1e-06,500,100,50,5,
Committee,2,0.01,1e-06,500,100,60,5,
Committee,2,0.01,1e-06,500,100,70,5,
Committee,2,0.01,1e-06,500,100,80,5,
Committee,2,0.01,1e-06,500,100,90,5,
Committee,2,0.01,1e-06,500,100,100,5,
Committee,2,0.01,1e-06,500,100,200,5,
Committee,2,0.01,1e-06,500,100,300,5,
Committee,2,0.01,1e-06,500,100,400,5,
Committee,2,0.01,1e-06,500,100,1000,5,
Committee,2,0.01,1e-06,500,100,2000,5,
Committee,2,0.01,1e-06,500,50,50,10,
Committee,2,0.01,1e-06,500,50,60,10,
Committee,2,0.01,1e-06,500,50,70,10,
Committee,2,0.01,1e-06,500,50,80,10,
Committee,2,0.01,1e-06,500,50,90,10,
Committee,2,0.01,1e-06,500,50,100,10,
Committee,2,0.01,1e-06,500,50,200,10,
Committee,2,0.01,1e-06,500,50,300,10,
Committee,2,0.01,1e-06,500,50,400,10,
Committee,2,0.01,1e-06,500,50,1000,10,
Committee,2,0.01,1e-06,500,50,2000,10,
Committee,2,0.01,1e-06,500,100,50,10,
Committee,2,0.01,1e-06,500,100,60,10,
Committee,2,0.01,1e-06,500,100,70,10,
Committee,2,0.01,1e-06,500,100,80,10,
Committee,2,0.01,1e-06,500,100,90,10,
Committee,2,0.01,1e-06,500,100,100,10,
Committee,2,0.01,1e-06,500,100,200,10,
Committee,2,0.01,1e-06,500,100,300,10,
Committee,2,0.01,1e-06,500,100,400,10,
Committee,2,0.01,1e-06,500,100,1000,10,
Committee,2,0.01,1e-06,500,100,2000,10,
Committee,2,0.001,1e-05,500,50,50,5,
Committee,2,0.001,1e-05,500,50,60,5,
Committee,2,0.001,1e-05,500,50,70,5,
Committee,2,0.001,1e-05,500,50,80,5,
Committee,2,0.001,1e-05,500,50,90,5,
Committee,2,0.001,1e-05,500,50,100,5,
Committee,2,0.001,1e-05,500,50,200,5,
Committee,2,0.001,1e-05,500,50,300,5,
Committee,2,0.001,1e-05,500,50,400,5,
Committee,2,0.001,1e-05,500,50,1000,5,
Committee,2,0.001,1e-05,500,50,2000,5,
Committee,2,0.001,1e-05,500,100,50,5,
Committee,2,0.001,1e-05,500,100,60,5,
Committee,2,0.001,1e-05,500,100,70,5,
Committee,2,0.001,1e-05,500,100,80,5,
Committee,2,0.001,1e-05,500,100,90,5,
Committee,2,0.001,1e-05,500,100,100,5,
Committee,2,0.001,1e-05,500,100,200,5,
Committee,2,0.001,1e-05,500,100,300,5,
Committee,2,0.001,1e-05,500,100,400,5,
Committee,2,0.001,1e-05,500,100,1000,5,
Committee,2,0.001,1e-05,500,100,2000,5,
Committee,2,0.001,1e-05,500,50,50,10,
Committee,2,0.001,1e-05,500,50,60,10,
Committee,2,0.001,1e-05,500,50,70,10,
Committee,2,0.001,1e-05,500,50,80,10,
Committee,2,0.001,1e-05,500,50,90,10,
Committee,2,0.001,1e-05,500,50,100,10,
Committee,2,0.001,1e-05,500,50,200,10,
Committee,2,0.001,1e-05,500,50,300,10,
Committee,2,0.001,1e-05,500,50,400,10,
Committee,2,0.001,1e-05,500,50,1000,10,
Committee,2,0.001,1e-05,500,50,2000,10,
Committee,2,0.001,1e-05,500,100,50,10,
Committee,2,0.001,1e-05,500,100,60,10,
Committee,2,0.001,1e-05,500,100,70,10,
Committee,2,0.001,1e-05,500,100,80,10,
Committee,2,0.001,1e-05,500,100,90,10,
Committee,2,0.001,1e-05,500,100,100,10,
Committee,2,0.001,1e-05,500,100,200,10,
Committee,2,0.001,1e-05,500,100,300,10,
Committee,2,0.001,1e-05,500,100,400,10,
Committee,2,0.001,1e-05,500,100,1000,10,
Committee,2,0.001,1e-05,500,100,2000,10,
Committee,2,0.001,1e-06,500,50,50,5,
Committee,2,0.001,1e-06,500,50,60,5,
Committee,2,0.001,1e-06,500,50,70,5,
Committee,2,0.001,1e-06,500,50,80,5,
Committee,2,0.001,1e-06,500,50,90,5,
Committee,2,0.001,1e-06,500,50,100,5,
Committee,2,0.001,1e-06,500,50,200,5,
Committee,2,0.001,1e-06,500,50,300,5,
Committee,2,0.001,1e-06,500,50,400,5,
Committee,2,0.001,1e-06,500,50,1000,5,
Committee,2,0.001,1e-06,500,50,2000,5,
Committee,2,0.001,1e-06,500,100,50,5,
Committee,2,0.001,1e-06,500,100,60,5,
Committee,2,0.001,1e-06,500,100,70,5,
Committee,2,0.001,1e-06,500,100,80,5,
Committee,2,0.001,1e-06,500,100,90,5,
Committee,2,0.001,1e-06,500,100,100,5,
Committee,2,0.001,1e-06,500,100,200,5,
Committee,2,0.001,1e-06,500,100,300,5,
Committee,2,0.001,1e-06,500,100,400,5,
Committee,2,0.001,1e-06,500,100,1000,5,
Committee,2,0.001,1e-06,500,100,2000,5,
Committee,2,0.001,1e-06,500,50,50,10,
Committee,2,0.001,1e-06,500,50,60,10,
Committee,2,0.001,1e-06,500,50,70,10,
Committee,2,0.001,1e-06,500,50,80,10,
Committee,2,0.001,1e-06,500,50,90,10,
Committee,2,0.001,1e-06,500,50,100,10,
Committee,2,0.001,1e-06,500,50,200,10,
Committee,2,0.001,1e-06,500,50,300,10,
Committee,2,0.001,1e-06,500,50,400,10,
Committee,2,0.001,1e-06,500,50,1000,10,
Committee,2,0.001,1e-06,500,50,2000,10,
Committee,2,0.001,1e-06,500,100,50,10,
Committee,2,0.001,1e-06,500,100,60,10,
Committee,2,0.001,1e-06,500,100,70,10,
Committee,2,0.001,1e-06,500,100,80,10,
Committee,2,0.001,1e-06,500,100,90,10,
Committee,2,0.001,1e-06,500,100,100,10,
Committee,2,0.001,1e-06,500,100,200,10,
Committee,2,0.001,1e-06,500,100,300,10,
Committee,2,0.001,1e-06,500,100,400,10,
Committee,2,0.001,1e-06,500,100,1000,10,
Committee,2,0.001,1e-06,500,100,2000,10,
Committee,4,0.01,1e-05,500,50,50,5,
Committee,4,0.01,1e-05,500,50,60,5,
Committee,4,0.01,1e-05,500,50,70,5,
Committee,4,0.01,1e-05,500,50,80,5,
Committee,4,0.01,1e-05,500,50,90,5,
Committee,4,0.01,1e-05,500,50,100,5,
Committee,4,0.01,1e-05,500,50,200,5,
Committee,4,0.01,1e-05,500,50,300,5,
Committee,4,0.01,1e-05,500,50,400,5,
Committee,4,0.01,1e-05,500,50,1000,5,
Committee,4,0.01,1e-05,500,50,2000,5,
Committee,4,0.01,1e-05,500,100,50,5,
Committee,4,0.01,1e-05,500,100,60,5,
Committee,4,0.01,1e-05,500,100,70,5,
Committee,4,0.01,1e-05,500,100,80,5,
Committee,4,0.01,1e-05,500,100,90,5,
Committee,4,0.01,1e-05,500,100,100,5,
Committee,4,0.01,1e-05,500,100,200,5,
Committee,4,0.01,1e-05,500,100,300,5,
Committee,4,0.01,1e-05,500,100,400,5,
Committee,4,0.01,1e-05,500,100,1000,5,
Committee,4,0.01,1e-05,500,100,2000,5,
Committee,4,0.01,1e-05,500,50,50,10,
Committee,4,0.01,1e-05,500,50,60,10,
Committee,4,0.01,1e-05,500,50,70,10,
Committee,4,0.01,1e-05,500,50,80,10,
Committee,4,0.01,1e-05,500,50,90,10,
Committee,4,0.01,1e-05,500,50,100,10,
Committee,4,0.01,1e-05,500,50,200,10,
Committee,4,0.01,1e-05,500,50,300,10,
Committee,4,0.01,1e-05,500,50,400,10,
Committee,4,0.01,1e-05,500,50,1000,10,
Committee,4,0.01,1e-05,500,50,2000,10,
Committee,4,0.01,1e-05,500,100,50,10,
Committee,4,0.01,1e-05,500,100,60,10,
Committee,4,0.01,1e-05,500,100,70,10,
Committee,4,0.01,1e-05,500,100,80,10,
Committee,4,0.01,1e-05,500,100,90,10,
Committee,4,0.01,1e-05,500,100,100,10,
Committee,4,0.01,1e-05,500,100,200,10,
Committee,4,0.01,1e-05,500,100,300,10,
Committee,4,0.01,1e-05,500,100,400,10,
Committee,4,0.01,1e-05,500,100,1000,10,
Committee,4,0.01,1e-05,500,100,2000,10,
Committee,4,0.01,1e-06,500,50,50,5,
Committee,4,0.01,1e-06,500,50,60,5,
Committee,4,0.01,1e-06,500,50,70,5,
Committee,4,0.01,1e-06,500,50,80,5,
Committee,4,0.01,1e-06,500,50,90,5,
Committee,4,0.01,1e-06,500,50,100,5,
